** File generated by WinEP - 5/10/2016 (5:23p) **

Station 	StrAV_SW
806.214172	0.322017
807.048401	0.345163
807.882690	0.338500
808.716980	0.349961
809.551270	0.344597
810.385498	0.358771
811.219788	0.352689
812.054077	0.309044
812.888306	0.341562
813.722595	0.341822
814.556885	0.353092
815.391174	0.347223
816.225464	0.361214
817.059753	0.340891
817.894043	0.307416
818.728333	0.345539
819.562683	0.346654
820.396973	0.356493
821.231323	0.349404
822.065674	0.349842
822.899963	0.338966
823.734314	0.312038
824.568604	0.349465
825.402954	0.346539
826.237244	0.349085
827.071533	0.339659
827.905823	0.356640
828.740112	0.350983
829.574402	0.320783
830.408691	0.343434
831.242981	0.337461
832.077271	0.349967
832.911560	0.342293
833.745850	0.359115
834.580139	0.352890
835.414429	0.308406
836.248779	0.341577
837.083069	0.342107
837.917419	0.353184
838.751709	0.346105
839.586060	0.362011
840.420410	0.341782
841.254761	0.306352
842.089172	0.346101
842.923462	0.346368
843.757813	0.357184
844.592163	0.349256
845.426514	0.363570
846.260803	0.350215
847.095154	0.318349
847.929443	0.357782
848.763733	0.341890
849.598083	0.345691
850.432373	0.339097
851.266663	0.355851
852.101013	0.351294
852.935303	0.320050
853.769592	0.344928
854.603943	0.339037
855.438232	0.349423
856.272583	0.343919
857.106934	0.360920
857.941284	0.353238
858.775635	0.308869
859.609985	0.343254
860.444336	0.343296
861.278748	0.353520
862.113098	0.347748
862.947449	0.363404
863.781799	0.341900
864.616150	0.307854
865.450500	0.261944
866.284851	0.569806
867.119141	0.473852
867.953491	0.434163
868.787842	0.436269
869.622192	0.407945
870.456482	0.230292
871.290833	0.097237
872.125183	0.223574
872.959473	0.196315
873.793823	0.206381
874.628174	0.259129
875.462524	0.195659
876.296875	0.176807
877.131226	0.138631
877.965576	0.191964
878.799988	0.189685
879.634338	0.196656
880.468750	0.205063
881.303162	0.171308
882.137512	0.157786
882.971863	0.164424
